CEF Specification Version,CEF Key Name,Full Name,Data Type,Length,Meaning
0.1,act,deviceAction,String,63,"Action taken by the device."
0.1,app,applicationProtocol,String,31,"Application level protocol, example: HTTP, HTTPS, SSHv2, Telnet, POP, IMPA, IMAPS, and so on."
0.1,c6a1,deviceCustomIPv6Address 1,IPv6 address,,"One of the four IPv6 address fields available to map fields that do not apply to any other in this dictionary. TIP: For tips on using these fields, see the guidelines defined under User-Defined Extensions."
0.1,c6a1Label,deviceCustomIPvAddress1 Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,c6a3,deviceCustomIPv6Address 3,IPv6 address,,"One of the four IPv6 address fields available to map fields that do not apply to any other in this dictionary. TIP: For tips on using these fields, see the guidelines defined under User-Defined Extensions."
0.1,c6a3Label,deviceCustomIPv6Address Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,c6a4,deviceCustomIPv6Address 4,IPv6 Address,,"One of the four IPv6 address fields available to map fields that do not apply to any other in this dictionary. TIP: For tips on using these fields, see the guidelines defined under User-Defined Extensions."
0.1,c6a4Label,deviceCustomIPv6Address 4Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cat,deviceEventCategory,String,1023,"Represents the category assigned by the originating device. Devices often use their own categorization schema to classify event. Example: “/Monitor/Disk/Read”"
0.1,cfp1,deviceCustomFloatingPoint1,Floating Point,,"One of our floating point fields available to map fields that do not apply to any other in this dictionary."
0.1,cfp1Label,deviceCustoFloatingPoint1 Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cfp2,deviceCustomFloatingPoint2,Floating Point,,"One of the four floating point fields available to map fields that do not apply to any other in this dictionary."
0.1,cfp2Label,deviceCustomFloatingPointLabel,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cfp3,deviceCustomFloatingPoint3,Floating Point,,"One of the four floating point fields available to map fields that do not apply to any other in this dictionary."
0.1,cfp3Label,deviceCustomFloatingPoint3Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cfp4,deviceCustomFloatingPoint4,Floating Point,,"One of the four floating point fields available to map fields that do not apply to any other in this dictionary."
0.1,cfp4Label,deviceCustomFloatingPoint4Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cn1,deviceCustomNumber1,Long,,"One of the three number fields available to map fields that do not apply to any other in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible."
0.1,cn1Label,deviceCustomNumber1Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cn2,DeviceCustomNumber2,Long,,"One of the three number fields available to map fields that do not apply to any other in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible."
0.1,cn2Label,deviceCustomNumber2Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field. Implementing ArcSight Common Event Format (CEF) - Version 26 ArcS"
0.1,cn3,deviceCustomNumber3,Long,,"One of the three number fields available to map fields that do not apply to any other in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible."
0.1,cn3Label,deviceCustomNumber3Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
0.1,cnt,baseEventCount,Integer,,"A count associated with this event. How many times was this same event observed? Count can be omitted if it is 1."
0.1,cs1,deviceCustomString1,String,4000,"One of the six strings available to map fields that do not apply to any other in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible. TIP : For tips on using these fields, see the guidelines defined under User- Defined Extensions"
0.1,cs1Label,deviceCustomString1Label,String,1023,"All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field."
